id,업종,브랜드,가맹사업 개월수,가맹점수,가맹점 평균매출액,창업비용,개점률,폐점률,개월수_r,가맹점수_r,평균매출액_r,창업비용_r,개점률_r,폐점률_r,레이블
456,기타 외식,돈카냉면&파스타,34,7,360409,79880,57,0,0.04587156,0.001775673,0.099642961,0.097177616,0.57,0,3
457,기타 외식,돈카츠&화꾸어,45,5,53470,39900,80,40,0.066055046,0.001183782,0.014782246,0.048540146,0.8,0.4,3
458,기타 외식,돈탐라제주,92,9,184087,88990,22,33,0.152293578,0.002367564,0.050894477,0.108260341,0.22,0.33,1
459,한식,돈통마늘보쌈,139,77,315111,77900,7,11,0.23853211,0.022491861,0.087119233,0.094768856,0.07,0.11,4
460,분식,돈페,91,5,784186,337250,20,0,0.150458716,0.001183782,0.216806369,0.410279805,0.2,0,5
461,분식,돈페플러스,26,8,87728,43800,100,12,0.031192661,0.002071619,0.024253699,0.053284672,1,0.12,3
462,한식,돌배기집,85,47,768326,120830,8,34,0.139449541,0.013613495,0.212421488,0.146995134,0.08,0.34,1
463,한식,돔베초밥,31,8,1217009,398800,12,0,0.040366972,0.002071619,0.336470763,0.485158151,0.12,0,5
464,주점,동경야시장,66,71,392810,79560,5,60,0.104587156,0.020716188,0.108601002,0.096788321,0.05,0.6,0
465,치킨,동근이숯불두마리치킨,50,51,241231,56920,33,17,0.075229358,0.014797277,0.066693319,0.069245742,0.33,0.17,1
466,분식,동대문떡볶이동떡,80,12,162654,37520,16,8,0.130275229,0.003255401,0.044968805,0.045644769,0.16,0.08,1
467,중/일식,동명 카츠,36,78,102727,53315,50,38,0.049541284,0.022787807,0.028400536,0.064860097,0.5,0.38,1
468,제과제빵,동빵,112,4,167824,40728,50,25,0.188990826,0.000887837,0.046398177,0.049547445,0.5,0.25,1
469,분식,동산만두,37,12,194471,24730,83,25,0.051376147,0.003255401,0.053765385,0.030085158,0.83,0.25,3
470,한식,동서네낙지,97,23,245623,66580,13,17,0.16146789,0.006510802,0.067907593,0.080997567,0.13,0.17,1
471,기타 외국식,동성로매콩돈까스와 냉면,95,7,300608,75480,0,28,0.157798165,0.001775673,0.083109527,0.091824818,0,0.28,1
472,한식,돼지33,28,7,251149,53900,85,0,0.034862385,0.001775673,0.06943539,0.065571776,0.85,0,3
473,한식,돼지만,30,7,766992,168000,100,14,0.03853211,0.001775673,0.212052672,0.204379562,1,0.14,3
474,한식,돼지코생곱창갈비,98,7,175800,84765,57,0,0.163302752,0.001775673,0.048603335,0.103120438,0.57,0,3
475,분식,두가지떡볶이,24,14,163949,29000,100,0,0.027522936,0.003847292,0.04532684,0.035279805,1,0,3
476,한식,두거리우신탕,80,21,369458,40645,9,9,0.130275229,0.005918911,0.102144776,0.049446472,0.09,0.09,1
477,분식,두끼,72,218,603228,177436,24,0,0.11559633,0.064220183,0.16677615,0.215858881,0.24,0,1
478,한식,두남자찜닭,86,17,441250,155300,0,5,0.141284404,0.004735129,0.121993412,0.18892944,0,0.05,1
479,분식,두레마을우동집,60,8,88510,91500,12,0,0.093577982,0.002071619,0.024469902,0.111313869,0.12,0,1
480,치킨,두레옛날통닭,22,8,299239,29700,100,0,0.023853211,0.002071619,0.082731034,0.036131387,1,0,3
481,한식,두리맛감자탕,141,21,529286,109700,14,19,0.242201835,0.005918911,0.146333095,0.133454988,0.14,0.19,1
482,치킨,두리아,247,35,151908,63490,5,42,0.436697248,0.010062149,0.041997814,0.077238443,0.05,0.42,4
483,치킨,두마리치킨마당,34,9,297079,37370,88,33,0.04587156,0.002367564,0.08213385,0.045462287,0.88,0.33,3
484,한식,두부본가어묵,89,11,166147,68650,9,0,0.146788991,0.002959455,0.04593453,0.083515815,0.09,0,1
485,한식,두찜,56,263,240278,47000,62,11,0.086238532,0.077537733,0.066429839,0.057177616,0.62,0.11,3
486,치킨,둘둘치킨,285,121,48124,65800,1,15,0.506422018,0.035513466,0.013304215,0.080048662,0.01,0.15,4
487,치킨,둘마니치킨,68,10,106320,41800,0,10,0.108256881,0.00266351,0.029393908,0.050851582,0,0.1,1
488,기타 외식,등갈비달인,67,3,796331,68100,0,33,0.106422018,0.000591891,0.220164148,0.082846715,0,0.33,1
489,기타 외식,등갈비애꼬치다,41,7,178449,56750,28,14,0.058715596,0.001775673,0.049335715,0.069038929,0.28,0.14,1
490,한식,등뼈가,191,85,172915,84000,9,4,0.333944954,0.024859426,0.047805707,0.102189781,0.09,0.04,4
491,치킨,디디치킨(DD치킨),214,169,155751,38550,11,33,0.376146789,0.049718852,0.043060304,0.04689781,0.11,0.33,4
492,카페,디에떼에스프레소,115,108,43231,118000,14,18,0.194495413,0.031666173,0.011951427,0.143552311,0.14,0.18,1
493,기타 외식,디저트39,67,135,141155,116490,17,25,0.106422018,0.039656703,0.039024887,0.141715328,0.17,0.25,1
494,카페,디초콜릿커피앤드,74,23,229680,85010,13,26,0.119266055,0.006510802,0.063499765,0.103418491,0.13,0.26,1
495,기타 외국식,딜스테이크,28,36,121775,46100,91,13,0.034862385,0.010358094,0.033666817,0.056082725,0.91,0.13,3
496,한식,따띠삼겹,23,15,211190,26850,100,0,0.025688073,0.004143238,0.058387757,0.032664234,1,0,3
497,제과제빵,따삐오,261,73,134419,94050,17,32,0.462385321,0.021308079,0.037162556,0.114416058,0.17,0.32,4
498,분식,딸부자꼬마김밥,88,5,170116,35100,60,0,0.144954128,0.001183782,0.047031856,0.04270073,0.6,0,3
499,치킨,땅땅치킨,202,279,178079,62500,13,15,0.35412844,0.082272862,0.04923342,0.076034063,0.13,0.15,4
500,한식,땅스부대찌개,50,177,171677,30600,83,1,0.075229358,0.052086416,0.047463432,0.037226277,0.83,0.01,3
501,한식,땡기요,68,14,134066,82200,21,7,0.108256881,0.003847292,0.037064961,0.1,0.21,0.07,1
502,주점,땡초우동,90,35,182604,52600,8,0,0.148623853,0.010062149,0.050484466,0.063990268,0.08,0,1
503,분식,땡큐꼬마김밥,83,10,245336,53900,0,0,0.135779817,0.00266351,0.067828245,0.065571776,0,0,1
504,치킨,땡큐맘치킨,136,21,147396,49400,0,28,0.233027523,0.005918911,0.040750362,0.060097324,0,0.28,1
505,한식,떡가게 종춘,33,5,1602736,108450,0,0,0.044036697,0.001183782,0.443114327,0.131934307,0,0,5
506,분식,떡볶이스타,46,17,23765,47300,47,5,0.067889908,0.004735129,0.00656958,0.057542579,0.47,0.05,3
507,기타 외식,떼루와,84,58,121914,59100,5,41,0.137614679,0.016868896,0.033705246,0.07189781,0.05,0.41,0
508,치킨,또래오래,214,657,122986,33226,9,10,0.376146789,0.194140278,0.034001627,0.040420925,0.09,0.1,4
509,치킨,또봉이통닭,108,524,106444,28060,13,17,0.181651376,0.154779521,0.029428191,0.034136253,0.13,0.17,4
510,제과제빵,또아식빵,51,15,202040,69550,0,100,0.07706422,0.004143238,0.055858018,0.084610706,0,1,0
511,한식,또와유 명태간장조림,111,30,290700,83600,10,23,0.187155963,0.008582421,0.080370221,0.101703163,0.1,0.23,1
512,주점,똥꼬,154,9,211212,59972,0,44,0.266055046,0.002367564,0.05839384,0.072958637,0,0.44,0
513,치킨,똥집의 달인,119,9,87691,29490,11,0,0.201834862,0.002367564,0.02424347,0.035875912,0.11,0,1
514,기타 외식,뚜띠쿠치나,165,11,535566,165930,9,9,0.286238532,0.002959455,0.148069353,0.201861314,0.09,0.09,4
515,제과제빵,뚜레쥬르,279,1278,463103,252750,6,9,0.495412844,0.377922462,0.128035203,0.307481752,0.06,0.09,2
516,한식,뚝배기양평해장국,231,26,337101,14900,7,7,0.40733945,0.007398639,0.093198901,0.018126521,0.07,0.07,4
517,한식,뚱뚱이할머니족발보쌈,196,6,20813,20680,16,0,0.343119266,0.001479728,0.005753428,0.025158151,0.16,0,4
518,한식,뚱뚱이할머니족발보쌈,196,18,20813,20680,5,0,0.343119266,0.005031074,0.005753428,0.025158151,0.05,0,4
519,분식,뚱보아저씨 돈가스,50,4,237930,90000,50,0,0.075229358,0.000887837,0.065780677,0.109489051,0.5,0,3
520,기타 외식,뚱보집,29,160,386689,72520,100,7,0.036697248,0.047055342,0.106908703,0.088223844,1,0.07,3
521,분식,뚱볶이,21,7,115061,14300,100,0,0.022018349,0.001775673,0.031810569,0.017396594,1,0,3
522,한식,뚱삼이와대삼이,67,25,331503,88600,12,8,0.106422018,0.007102693,0.091651198,0.107785888,0.12,0.08,1
523,한식,뜨끈이 감자탕,69,7,767384,93300,28,0,0.110091743,0.001775673,0.21216105,0.11350365,0.28,0,1
524,기타 외국식,뜨돈(DD'DON),52,10,656652,115200,20,0,0.078899083,0.00266351,0.181546508,0.140145985,0.2,0,1
525,카페,뜰커피,33,16,209653,98800,62,0,0.044036697,0.004439183,0.057962816,0.120194647,0.62,0,3
526,중/일식,라공방,24,13,1268972,150200,100,0,0.027522936,0.003551347,0.350837192,0.182725061,1,0,5
527,카페,라드커피(LAD COFFEE),71,10,184611,237450,10,10,0.113761468,0.00266351,0.051039349,0.288868613,0.1,0.1,1
528,카페,라떼떼,113,36,60949,96100,41,44,0.190825688,0.010358094,0.016849997,0.116909976,0.41,0.44,0
529,카페,라떼킹(latteking),144,12,118040,85500,0,33,0.247706422,0.003255401,0.032634185,0.104014599,0,0.33,4
530,기타 외식,라라코스트(raracost),92,98,836984,190100,0,9,0.152293578,0.028706718,0.231403654,0.231265207,0,0.09,5
531,기타 외식,라무진,77,100,338286,83700,12,5,0.124770642,0.029298609,0.093526522,0.101824818,0.12,0.05,1
532,카페,라벨스하이디,36,9,144157,114080,0,0,0.049541284,0.002367564,0.039854862,0.138783455,0,0,1
533,카페,라스베이글,65,8,183439,89150,25,0,0.102752294,0.002071619,0.050715322,0.108454988,0.25,0,1
534,패스트푸드,라오니피자,33,37,205056,20700,67,8,0.044036697,0.01065404,0.056691865,0.025182482,0.67,0.08,3
535,분식,라이스쉐프,30,12,220356,94306,41,0,0.03853211,0.003255401,0.06092192,0.114727494,0.41,0,1
536,카페,라크리마커피,26,9,67115,60000,100,0,0.031192661,0.002367564,0.018554737,0.072992701,1,0,3
537,중/일식,라화쿵부,50,106,406572,79250,72,9,0.075229358,0.031074282,0.11240584,0.096411192,0.72,0.09,3
538,기타 외국식,램플러스,58,22,312425,66000,4,31,0.089908257,0.006214856,0.086376623,0.080291971,0.04,0.31,1
539,카페,랭스터디카페(LANG STUDY CAFE),43,13,236417,243841,46,7,0.062385321,0.003551347,0.065362372,0.296643552,0.46,0.07,1
540,주점,레드락,36,11,170787,79420,18,54,0.049541284,0.002959455,0.04721737,0.096618005,0.18,0.54,0
541,주점,레드문,32,3,373360,120620,33,0,0.042201835,0.000591891,0.103223579,0.146739659,0.33,0,1
542,카페,레이지모닝,44,5,418408,237300,0,0,0.064220183,0.001183782,0.115678188,0.288686131,0,0,5
543,제과제빵,레인보우마카롱,36,7,390839,63410,85,0,0.049541284,0.001775673,0.108056071,0.077141119,0.85,0,3
544,한식,로꼬로꼬,103,5,484735,92760,20,60,0.172477064,0.001183782,0.134015893,0.112846715,0.2,0.6,0
545,기타 외식,로니로티,108,9,1075136,329150,33,22,0.181651376,0.002367564,0.297246538,0.400425791,0.33,0.22,5
546,제과제빵,로띠번,109,72,149091,94920,4,6,0.183486239,0.021012134,0.041218986,0.115474453,0.04,0.06,1
547,분식,로라방앗간,54,19,195687,48025,52,5,0.082568807,0.00532702,0.054101578,0.058424574,0.52,0.05,3
548,카페,로반스윗,41,10,84300,73950,30,20,0.058715596,0.00266351,0.023305946,0.089963504,0.3,0.2,1
549,분식,로봇김밥,84,14,197070,75700,0,78,0.137614679,0.003847292,0.054483942,0.092092457,0,0.78,0
550,주점,로얄자카르타,39,19,262611,90550,47,36,0.055045872,0.00532702,0.072604337,0.110158151,0.47,0.36,1
551,치킨,로타리치킨상회,25,6,206032,57980,100,0,0.029357798,0.001479728,0.056961703,0.07053528,1,0,3
552,카페,록시드갸토(LOXID GATEAU),29,13,141829,81450,84,0,0.036697248,0.003551347,0.03921123,0.099087591,0.84,0,3
553,기타 외국식,롤링파스타,23,18,1106119,125010,100,0,0.025688073,0.005031074,0.305812538,0.152080292,1,0,3
554,제과제빵,롤링핀,87,55,582905,311950,30,18,0.143119266,0.015981059,0.161157365,0.379501217,0.3,0.18,5
555,패스트푸드,롯데리아,488,1211,676866,387956,3,2,0.878899083,0.358094111,0.187135158,0.471965937,0.03,0.02,2
556,기타 외국식,롱브레드,115,5,637382,217730,20,40,0.194495413,0.001183782,0.17621885,0.264878345,0.2,0.4,5
557,카페,루고,103,8,197649,121500,25,0,0.172477064,0.002071619,0.05464402,0.147810219,0.25,0,1
558,기타 외국식,루스트플레이스,95,14,1124370,492800,7,0,0.157798165,0.003847292,0.310858469,0.599513382,0.07,0,5
559,기타 외국식,르번미(Lebunmie),69,10,349049,97700,10,20,0.110091743,0.00266351,0.096502214,0.118856448,0.1,0.2,1
560,제과제빵,르뽀미에,163,7,261937,94050,0,42,0.282568807,0.001775673,0.072417994,0.114416058,0,0.42,4
561,패스트푸드,리골레토 시카고피자,74,10,472854,100350,0,50,0.119266055,0.00266351,0.130731103,0.122080292,0,0.5,0
562,분식,리김밥,70,26,282890,85690,30,11,0.111926606,0.007398639,0.078210958,0.104245742,0.3,0.11,1
563,기타 외식,리얼안심탕수육,71,93,132893,32650,68,26,0.113761468,0.02722699,0.036740657,0.039720195,0.68,0.26,3
564,주점,리얼펍,88,54,142577,86590,29,29,0.144954128,0.015685114,0.039418033,0.105340633,0.29,0.29,1
565,기타 외식,리얼하노이,26,19,64573,31550,100,0,0.031192661,0.00532702,0.017851939,0.038381995,1,0,3
566,기타 외식,리원,85,13,201764,185668,0,7,0.139449541,0.003551347,0.055781711,0.225873479,0,0.07,1
567,기타 외국식,리틀파파포(Little PAPA Pho),91,10,263418,137500,10,10,0.150458716,0.00266351,0.072827452,0.167274939,0.1,0.1,1
568,기타 외국식,리틀하노이(LittleHANOI),51,41,134245,60326,17,39,0.07706422,0.011837822,0.03711445,0.073389294,0.17,0.39,0
569,카페,리프패럿(LIP Parrot),48,24,102665,20040,41,8,0.071559633,0.006806748,0.028383395,0.024379562,0.41,0.08,1
570,치킨,림스치킨,524,53,83123,51000,7,7,0.944954128,0.015389168,0.022980536,0.062043796,0.07,0.07,4
571,주점,링코(RINKO),46,19,684178,511000,47,0,0.067889908,0.00532702,0.189156737,0.621654501,0.47,0,5
572,한식,마녀가 만든 족발,61,11,308221,99800,9,45,0.095412844,0.002959455,0.085214326,0.121411192,0.09,0.45,0
573,패스트푸드,마녀돈앤파스타,48,13,197363,20600,30,7,0.071559633,0.003551347,0.054564948,0.025060827,0.3,0.07,1
574,기타 외국식,마녀주방,48,5,703593,275700,40,0,0.071559633,0.001183782,0.194524484,0.33540146,0.4,0,5
575,카페,마노핀,107,11,180301,136120,0,9,0.179816514,0.002959455,0.049847746,0.165596107,0,0.09,1
576,기타 외식,마늘은약이다 보쌈&족발,60,11,648702,85600,18,27,0.093577982,0.002959455,0.179348538,0.104136253,0.18,0.27,1
577,한식,마당쇠껍데기와소금구이,88,21,87050,57220,85,0,0.144954128,0.005918911,0.02406625,0.069610706,0.85,0,3
578,한식,마당쇠돼지갈비,144,23,199716,64150,13,8,0.247706422,0.006510802,0.055215492,0.078041363,0.13,0.08,4
579,중/일식,마라내음,38,8,283347,81200,62,12,0.053211009,0.002071619,0.078337306,0.098783455,0.62,0.12,3
580,중/일식,마루가메제면,81,4,368460,225450,0,0,0.132110092,0.000887837,0.101868855,0.274270073,0,0,1
581,기타 외식,마루샤브,115,27,1235960,415200,3,7,0.194495413,0.007694584,0.341710225,0.505109489,0.03,0.07,5
582,제과제빵,마리웨일237,76,99,187071,92450,19,8,0.12293578,0.029002664,0.051719476,0.112469586,0.19,0.08,1
583,한식,마린보이동태탕.찜.코다리1번가,45,17,182844,79500,41,41,0.066055046,0.004735129,0.05055082,0.096715328,0.41,0.41,0
584,카페,마린커피,44,7,135152,77570,28,0,0.064220183,0.001775673,0.037365212,0.094367397,0.28,0,1
585,중/일식,마마돈,59,7,347797,84950,14,28,0.091743119,0.001775673,0.096156069,0.103345499,0.14,0.28,1
586,패스트푸드,마미쿡,68,12,146472,118600,25,33,0.108256881,0.003255401,0.0404949,0.144282238,0.25,0.33,1
587,분식,마성떡볶이,58,19,170121,81300,68,5,0.089908257,0.00532702,0.047033238,0.098905109,0.68,0.05,3
588,치킨,마슬랜,129,13,174232,43700,23,7,0.220183486,0.003551347,0.048169824,0.053163017,0.23,0.07,1
589,카페,마시그래이,82,75,132610,62700,14,20,0.133944954,0.02189997,0.036662414,0.076277372,0.14,0.2,1
590,중/일식,마시내탕수육짜장,190,34,36752,64250,2,32,0.332110092,0.009766203,0.01016015,0.078163017,0.02,0.32,4
591,중/일식,마싰는끼니,60,15,185440,53900,20,73,0.093577982,0.004143238,0.051268547,0.065571776,0.2,0.73,0
592,기타 외식,마약먹태,56,12,155059,44800,33,0,0.086238532,0.003255401,0.042868984,0.054501217,0.33,0,1
593,한식,마음을 담은 김치찌개,38,14,213154,43000,57,57,0.053211009,0.003847292,0.058930753,0.052311436,0.57,0.57,0
594,카페,마이쥬스,74,8,193882,113050,50,25,0.119266055,0.002071619,0.053602542,0.137530414,0.5,0.25,1
595,기타 외식,마이카츠,49,13,312481,76650,69,0,0.073394495,0.003551347,0.086392106,0.093248175,0.69,0,3
596,중/일식,마카나이,44,7,201150,51700,14,14,0.064220183,0.001775673,0.055611956,0.062895377,0.14,0.14,1
597,제과제빵,마크빈,23,4,201489,134250,100,0,0.025688073,0.000887837,0.055705681,0.163321168,1,0,3
598,한식,마통삼(마스터통삼겹),40,71,168369,48090,54,14,0.056880734,0.020716188,0.046548855,0.05850365,0.54,0.14,3
599,치킨,마파치킨,136,9,237760,36300,0,11,0.233027523,0.002367564,0.065733677,0.044160584,0,0.11,1
600,분식,마포만두,131,12,8760,83540,0,25,0.223853211,0.003255401,0.002421085,0.10163017,0,0.25,1
601,분식,마피아떡볶이,47,41,186760,52050,85,4,0.069724771,0.011837822,0.051633493,0.063321168,0.85,0.04,3
602,한식,막돼먹은막창,126,5,259637,47100,0,0,0.214678899,0.001183782,0.071782103,0.05729927,0,0,1
603,기타 외식,막창도둑,87,60,256000,48070,51,8,0.143119266,0.017460787,0.070776566,0.058479319,0.51,0.08,1
604,한식,만권화밥,55,16,191758,90000,62,0,0.08440367,0.004439183,0.053015311,0.109489051,0.62,0,3
605,한식,만나고쪽갈비가,79,28,191141,63050,17,10,0.128440367,0.00799053,0.052844726,0.076703163,0.17,0.1,1
606,치킨,만년닭강정,52,42,147377,51050,21,21,0.078899083,0.012133767,0.040745109,0.062104623,0.21,0.21,1
607,분식,만두여행,46,105,54489,62170,100,16,0.067889908,0.030778337,0.015063973,0.075632603,1,0.16,3
608,치킨,만땅치킨,47,54,81415,36650,31,24,0.069724771,0.015685114,0.022508318,0.044586375,0.31,0.24,1
609,카페,만랩커피,65,105,159063,87900,40,1,0.102752294,0.030778337,0.043975987,0.106934307,0.4,0.01,1
610,주점,만만코코로,63,16,531589,101550,43,68,0.099082569,0.004439183,0.146969815,0.123540146,0.43,0.68,0
611,주점,만복국수집,162,78,297360,59300,12,5,0.280733945,0.022787807,0.082211539,0.072141119,0.12,0.05,4
612,한식,만복한쭈꾸미낙지볶음,81,15,915090,160100,13,0,0.132110092,0.004143238,0.252997948,0.194768856,0.13,0,5
613,한식,만식이네와인포차,32,10,210333,61650,40,0,0.042201835,0.00266351,0.058150819,0.075,0.4,0,1
614,기타 외식,만이갈비,28,16,688982,137500,87,12,0.034862385,0.004439183,0.190484919,0.167274939,0.87,0.12,3
615,한식,만족오향족발,85,23,474686,106950,4,39,0.139449541,0.006510802,0.131237604,0.130109489,0.04,0.39,1
616,기타 외식,말자네약속다방,59,5,59582,63600,20,40,0.091743119,0.001183782,0.016472056,0.077372263,0.2,0.4,0
617,제과제빵,맘스케익,60,33,91142,67458,12,60,0.093577982,0.009470257,0.025197582,0.082065693,0.12,0.6,0
618,한식,맛깔참죽,212,131,157490,63150,14,15,0.372477064,0.038472921,0.043541093,0.076824818,0.14,0.15,4
619,한식,맛나감자탕,206,76,516581,159900,3,2,0.36146789,0.022195916,0.14282049,0.194525547,0.03,0.02,4
620,기타 외식,맛나슈퍼,60,37,209232,40700,13,21,0.093577982,0.01065404,0.057846421,0.049513382,0.13,0.21,1
621,치킨,맛닭꼬,128,147,295314,65850,7,11,0.218348624,0.04320805,0.081645873,0.080109489,0.07,0.11,1
622,치킨,맛데이,149,13,88628,74500,0,100,0.256880734,0.003551347,0.024502526,0.090632603,0,1,0
623,한식,맛들의축제,50,13,19483,72200,38,53,0.075229358,0.003551347,0.005385717,0.08783455,0.38,0.53,0
624,한식,맛없으면 환불해주는 장군집,11,15,976502,43071,100,0,0.003669725,0.004143238,0.269976782,0.05239781,1,0,3
625,분식,맛있게듬뿍,41,6,154441,71070,33,0,0.058715596,0.001479728,0.042698123,0.086459854,0.33,0,1
626,치킨,맛있게매운(빨석구)빨간석쇠구이,71,22,249227,46450,45,18,0.113761468,0.006214856,0.068904006,0.056508516,0.45,0.18,1
627,기타 외식,맛있는 오칠구,76,27,160786,75600,0,51,0.12293578,0.007694584,0.044452352,0.091970803,0,0.51,0
628,기타 외식,맛쭈서해쭈꾸미,170,8,441455,89800,0,37,0.295412844,0.002071619,0.122050089,0.109245742,0,0.37,4
629,한식,맛찬들왕소금구이,95,92,1171640,182500,9,5,0.157798165,0.026931045,0.323927405,0.222019465,0.09,0.05,5
630,제과제빵,망원동티라미수,42,7,594930,91330,28,71,0.060550459,0.001775673,0.164481968,0.111107056,0.28,0.71,0
631,한식,망향비빔국수,119,42,524229,174300,30,2,0.201834862,0.012133767,0.144934965,0.212043796,0.3,0.02,1
632,치킨,매드후라이치킨,124,22,252559,67760,36,31,0.211009174,0.006214856,0.069825219,0.08243309,0.36,0.31,1
633,카페,매머드익스프레스(Mammoth Express),51,83,252464,89100,56,8,0.07706422,0.024267535,0.069798953,0.108394161,0.56,0.08,3
634,카페,매머드커피(Mammoth coffee),92,70,259676,88830,4,34,0.152293578,0.020420243,0.071792885,0.108065693,0.04,0.34,1
635,기타 외식,매반생면,104,12,22535,79950,8,8,0.174311927,0.003255401,0.006229517,0.097262774,0.08,0.08,1
636,카페,매스커피,91,26,208345,118500,7,0,0.150458716,0.007398639,0.057601188,0.144160584,0.07,0,1
637,치킨,맥시칸치킨,426,339,87952,30300,2,9,0.765137615,0.100029595,0.02431563,0.036861314,0.02,0.09,4
638,기타 외식,맥쓰(MEXX)세계치킨,103,21,235675,107000,4,33,0.172477064,0.005918911,0.065157228,0.130170316,0.04,0.33,1
639,주점,맥주바켓(맥주Barket),119,20,176306,133260,0,40,0.201834862,0.005622965,0.048743231,0.162116788,0,0.4,0
640,주점,맥주활력수,33,8,275745,69900,62,0,0.044036697,0.002071619,0.076235549,0.085036496,0.62,0,3
641,치킨,맥켄치킨,230,22,85527,6400,0,4,0.405504587,0.006214856,0.02364518,0.007785888,0,0.04,4
642,기타 외국식,맨인더키친(MAN IN THE KITCHEN),116,7,682373,256900,28,0,0.196330275,0.001775673,0.188657701,0.312530414,0.28,0,5
643,한식,맵도리탕,56,37,273747,39045,59,8,0.086238532,0.01065404,0.075683154,0.0475,0.59,0.08,3
644,한식,맷돌로만,95,13,442500,137750,15,7,0.157798165,0.003551347,0.122339005,0.167579075,0.15,0.07,1
645,주점,먹태,69,10,86655,44358,0,20,0.110091743,0.00266351,0.023957043,0.053963504,0,0.2,1
646,카페,메가엠지씨커피(MEGA MGC COFFEE),60,798,275854,56890,49,0,0.093577982,0.2358686,0.076265685,0.069209246,0.49,0,1
647,기타 외식,메고지고,56,16,72685,100886,25,75,0.086238532,0.004439183,0.020094698,0.12273236,0.25,0.75,0
648,한식,메밀고개 시골막국수,117,8,81862,105300,25,12,0.198165138,0.002071619,0.022631902,0.12810219,0.25,0.12,1
649,한식,메밀골동해막국수,204,9,147439,132800,0,0,0.357798165,0.002367564,0.04076225,0.161557178,0,0,4
650,기타 외식,메밀나라,55,9,471676,119800,11,11,0.08440367,0.002367564,0.130405416,0.145742092,0.11,0.11,1
651,패스트푸드,메이젠,31,47,193943,71600,61,21,0.040366972,0.013613495,0.053619407,0.087104623,0.61,0.21,3
652,중/일식,메이탄,32,12,1381747,475440,33,8,0.042201835,0.003255401,0.38201657,0.578394161,0.33,0.08,5
653,기타 외국식,메콩타이,135,30,555096,135215,10,6,0.231192661,0.008582421,0.153468894,0.164495134,0.1,0.06,1
654,치킨,멕시카나,376,841,208572,28516,12,6,0.673394495,0.248594259,0.057663948,0.034690998,0.12,0.06,2
655,기타 외식,멘무샤,153,34,319723,103900,8,17,0.264220183,0.009766203,0.088394332,0.126399027,0.08,0.17,4
656,중/일식,멘무샤조이,66,5,24788,76755,0,60,0.104587156,0.001183782,0.006852413,0.093375912,0,0.6,0
657,중/일식,멘야마쯔리,27,6,256090,61400,50,0,0.033027523,0.001479728,0.070801449,0.074695864,0.5,0,3
658,중/일식,멘야산다이메,123,17,397908,131955,5,35,0.209174312,0.004735129,0.110010467,0.160529197,0.05,0.35,1
659,기타 외식,면당포,26,12,82896,54430,100,8,0.031192661,0.003255401,0.022917776,0.066216545,1,0.08,3
660,한식,면채반,104,5,346680,117400,20,20,0.174311927,0.001183782,0.095847247,0.142822384,0.2,0.2,1
661,치킨,명동닭튀김,39,18,112515,72346,16,11,0.055045872,0.005031074,0.031106665,0.088012165,0.16,0.11,1
662,기타 외식,명동찌개마을,82,65,485199,49500,10,26,0.133944954,0.018940515,0.134144177,0.060218978,0.1,0.26,1
663,한식,명동칼국수샤브샤브,177,52,335186,115500,9,21,0.308256881,0.015093223,0.092669452,0.140510949,0.09,0.21,4
664,분식,명동할머니국수,106,34,257348,68980,0,23,0.177981651,0.009766203,0.071149253,0.083917275,0,0.23,1
665,제과제빵,명랑시대쌀핫도그,54,651,170002,39710,7,7,0.082568807,0.192364605,0.047000338,0.048309002,0.07,0.07,1
666,치킨,명랑한찜닭,47,25,172025,66350,100,20,0.069724771,0.007102693,0.047559645,0.080717762,1,0.2,3
667,한식,명랑회관,53,3,641586,128450,0,0,0.080733945,0.000591891,0.177381148,0.156265207,0,0,1
668,한식,명륜진사갈비,44,454,992450,170940,72,0,0.064220183,0.134063332,0.274385992,0.207956204,0.72,0,5
669,한식,명사순대,64,5,291465,94550,20,20,0.100917431,0.001183782,0.080581724,0.115024331,0.2,0.2,1
670,분식,명인만두,209,129,153571,127450,18,13,0.366972477,0.03788103,0.04245759,0.155048662,0.18,0.13,4
671,한식,명장복집&24시명장복국,69,5,391497,203500,20,20,0.110091743,0.001183782,0.108237991,0.24756691,0.2,0.2,1
672,한식,명태어장,25,30,382307,91300,100,0,0.029357798,0.008582421,0.105697193,0.11107056,1,0,3
673,한식,모던불닭,24,8,71951,31600,100,0,0.027522936,0.002071619,0.019891766,0.038442822,1,0,3
674,치킨,모던통닭,55,21,359935,77680,23,47,0.08440367,0.005918911,0.099511912,0.094501217,0.23,0.47,0
675,한식,모두국밥,48,5,272175,80300,40,0,0.071559633,0.001183782,0.075248536,0.097688564,0.4,0,1
676,한식,모두의만족,58,15,299573,32700,60,46,0.089908257,0.004143238,0.082823377,0.039781022,0.6,0.46,0
677,주점,모로미,62,51,265996,211800,100,27,0.097247706,0.014797277,0.073540202,0.257664234,1,0.27,3
678,카페,모리셔스브라운(Mauritius Brown),24,8,180455,57200,100,12,0.027522936,0.002071619,0.049890323,0.069586375,1,0.12,3
679,기타 외국식,모모스테이크,99,43,270400,79000,4,48,0.165137615,0.012429713,0.074757795,0.096107056,0.04,0.48,0
680,기타 외식,모모야,62,11,402279,72400,54,0,0.097247706,0.002959455,0.111218936,0.088077859,0.54,0,3
